canton,tenencia,fuente_agua,inodoro
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Vertiente / manantial,Pozo séptico
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Vertiente / manantial,Pozo séptico
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,otro,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,otro,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Vertiente / manantial,Pozo séptico
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,arrendada,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
Catamayo,propia,Red pública,Red pública de alcantarillado
